,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Eswatini,-3.8,6.9,1.4,-0.5,2.5,1.9,18.6,10.0,7.6,9.4,9.9,1.8,3.2,3.1,2.4,4.8,3.8,3.1,2.6,3.0,1.8,1.1,4.4,3.9,3.6,6.0,6.0,4.4,0.8,1.6,3.8,2.2,5.4,3.9,0.9,2.2,1.1,2.0,2.4,2.7,-1.6,7.9,0.5,2.8,3.611529845937746,3.611529845937746,3.611529845937746,3.611529845937746,3.611529845937746
Ethiopia,4.0,0.0,1.0,7.8,-2.3,-11.4,9.7,13.9,0.6,-0.5,2.6,-7.2,-8.9,13.4,3.5,6.1,13.5,2.8,-4.2,6.3,9.8,7.4,1.6,-2.1,11.7,12.6,11.5,11.8,11.2,10.0,10.6,11.4,8.7,9.9,10.3,10.4,8.0,10.2,7.7,9.0,6.1,6.3,6.4,6.1,6.1,6.1,6.1,6.1,6.1
Fiji,-1.7,6.0,-1.1,-4.2,10.1,-3.8,6.6,-7.2,3.5,13.9,5.8,-2.7,6.1,2.6,5.1,2.6,4.8,-2.4,1.3,8.7,-1.7,1.9,3.2,0.8,5.4,-1.3,1.9,-0.9,1.0,-1.4,3.0,2.7,1.4,4.7,5.6,4.5,2.4,5.4,3.8,-0.6,-17.0,-5.1,14.5,7.0,2.16363131325614,2.16363131325614,2.16363131325614,2.16363131325614,2.16363131325614
Finland,5.7,1.3,3.1,3.1,3.2,3.5,2.7,3.6,5.2,5.1,0.2,-5.9,-3.3,-0.7,4.0,4.2,3.7,6.3,5.5,4.4,5.8,2.6,1.7,2.0,4.0,2.8,4.0,5.3,0.8,-8.1,3.2,2.5,-1.4,-0.9,-0.4,0.5,2.8,3.2,1.1,1.2,-2.4,3.0,2.1,0.0,2.083049819692524,2.083049819692524,2.083049819692524,2.083049819692524,2.083049819692524
France,1.8,1.1,2.5,1.3,1.6,1.7,2.3,2.6,4.6,4.5,2.9,1.1,1.5,-0.7,2.4,2.3,1.4,2.3,3.6,3.3,4.1,1.9,1.2,0.8,2.6,1.7,2.6,2.4,0.2,-2.8,1.8,2.2,0.4,0.7,1.0,1.1,1.0,2.4,1.8,1.9,-7.9,6.8,2.6,0.7,1.7113585974301202,1.7113585974301202,1.7113585974301202,1.7113585974301202,1.7113585974301202
Gabon,0.0,-4.0,4.1,2.0,4.9,5.8,-2.1,-15.4,3.5,15.4,5.1,6.1,-3.1,3.9,3.7,5.0,3.6,5.7,3.5,-8.9,-1.9,2.1,0.2,1.7,1.1,-0.8,-1.9,6.3,1.7,-2.3,6.3,7.1,5.3,5.5,4.4,3.9,2.1,0.5,0.8,3.9,-1.9,1.5,2.8,3.0,2.1244666786529125,2.1244666786529125,2.1244666786529125,2.1244666786529125,2.1244666786529125
"Gambia, The",0.7,-9.5,20.8,13.5,-7.6,3.6,2.4,2.8,1.7,4.3,5.7,2.2,1.8,3.8,-3.4,3.3,2.9,1.4,6.5,6.4,5.5,5.8,-3.2,6.9,7.0,-2.4,-0.6,3.0,6.3,6.7,5.9,-8.1,5.2,2.9,-1.4,4.1,1.9,4.8,7.2,6.2,0.6,4.3,4.4,5.6,3.223818446359217,3.223818446359217,3.223818446359217,3.223818446359217,3.223818446359217
Georgia,1.9815789473684213,1.9815789473684213,1.9815789473684213,1.9815789473684213,1.9815789473684213,1.9815789473684213,1.9815789473684213,1.9815789473684213,1.9815789473684213,1.9815789473684213,1.9815789473684213,-21.1,-44.9,-29.3,-10.4,2.6,10.5,10.5,3.1,2.9,1.8,4.8,5.5,11.1,5.8,9.6,9.4,12.6,2.4,-3.7,6.2,7.4,6.4,3.6,4.4,3.0,2.9,4.8,4.8,5.0,-6.8,10.5,10.1,4.0,1.5363107323343181,1.5363107323343181,1.5363107323343181,1.5363107323343181,1.5363107323343181
Germany,1.3,0.1,-0.8,1.6,2.8,2.2,2.4,1.5,3.7,3.9,5.7,5.0,1.9,-1.0,2.4,1.5,0.8,1.8,2.0,1.9,2.9,1.7,-0.2,-0.7,1.2,0.7,3.8,3.0,1.0,-5.7,4.2,3.9,0.4,0.4,2.2,1.5,2.2,2.7,1.0,1.1,-3.7,2.6,1.8,-0.1,1.5590858805552448,1.5590858805552448,1.5590858805552448,1.5590858805552448,1.5590858805552448
Ghana,0.5,-3.8,-8.3,-6.2,9.4,6.4,6.2,6.7,6.5,4.5,3.6,4.8,4.5,4.8,3.5,4.2,4.8,5.8,5.0,4.5,3.6,3.8,4.6,5.1,5.4,6.2,5.8,4.1,9.0,5.7,7.8,13.9,8.4,7.2,2.9,2.1,3.4,8.1,6.2,6.5,0.5,5.4,3.2,1.6,4.312766736450614,4.312766736450614,4.312766736450614,4.312766736450614,4.312766736450614
Greece,0.7,-1.6,-1.1,-1.1,2.0,2.5,0.5,-2.3,4.3,3.8,0.0,3.1,0.7,-1.6,2.0,2.1,2.9,4.5,3.9,3.1,3.9,4.1,3.9,5.8,5.1,0.6,5.7,3.3,-0.3,-4.3,-5.5,-10.1,-7.1,-2.5,0.5,-0.2,-0.5,1.1,1.7,1.9,-9.0,8.4,5.9,2.6,1.0090524098441889,1.0090524098441889,1.0090524098441889,1.0090524098441889,1.0090524098441889
Grenada,15.1,1.4,4.1,3.3,4.0,6.0,7.4,9.1,2.9,3.8,4.2,1.4,-0.8,-2.0,1.8,2.2,4.4,4.9,11.8,7.0,5.1,-2.0,3.4,9.5,-0.6,13.3,-4.0,6.1,0.9,-6.6,-0.5,0.8,-1.2,2.4,7.3,6.4,3.7,4.4,4.4,0.7,-13.8,4.7,6.0,3.7,3.3204494994099023,3.3204494994099023,3.3204494994099023,3.3204494994099023,3.3204494994099023
Guatemala,3.7,0.6,-3.5,-2.5,0.5,-0.6,0.1,3.6,3.9,3.9,3.1,3.0,4.6,3.4,3.5,4.4,2.8,4.1,4.6,3.7,2.5,2.4,4.2,2.6,3.0,3.1,5.6,6.0,3.7,0.6,2.8,4.4,3.1,3.5,4.4,4.1,2.7,3.1,3.4,4.0,-1.8,8.0,4.0,3.4,2.9628617150236387,2.9628617150236387,2.9628617150236387,2.9628617150236387,2.9628617150236387
Guinea,2.6,0.6,1.8,1.3,1.4,5.0,3.1,3.3,6.3,4.0,4.3,2.5,3.3,5.0,4.0,4.7,4.5,5.2,3.6,3.8,2.5,3.7,5.2,1.2,2.3,3.0,2.5,6.5,4.1,-1.5,4.2,5.6,5.9,3.9,3.7,3.8,10.8,10.3,6.4,5.6,4.9,4.3,4.3,5.6,5.6,5.6,5.6,5.6,5.6
Guinea-Bissau,2.539721520566087,-0.5,4.2,-3.4,5.5,4.3,-1.0,5.6,2.0,2.9,4.6,7.3,3.1,2.3,3.0,4.0,3.7,6.0,-22.4,16.8,1.1,4.8,3.7,-0.3,1.2,6.6,2.7,2.6,4.5,2.4,5.6,8.1,-1.7,3.3,1.0,6.1,5.3,4.8,3.8,4.5,1.5,6.4,3.5,4.5,3.1032909567512075,3.1032909567512075,3.1032909567512075,3.1032909567512075,3.1032909567512075
Guyana,-2.1,0.6,-8.9,-11.5,2.1,0.4,-0.2,-0.1,-6.0,-4.9,-3.0,6.0,7.8,8.2,8.5,5.1,8.0,6.2,-1.7,3.0,-1.3,2.3,1.1,-0.7,1.6,-1.9,5.1,7.0,2.0,3.3,4.4,5.4,5.0,3.7,1.7,0.7,3.8,3.7,4.4,5.4,43.5,20.1,62.3,37.2,53.50062953789808,53.50062953789808,53.50062953789808,53.50062953789808,53.50062953789808
Haiti,7.3,1.1,-2.8,-1.5,0.2,0.8,0.3,-0.4,0.6,-1.1,-0.4,1.3,-2.3,-4.9,-11.6,9.9,4.1,2.7,2.2,2.7,0.9,-0.3,1.1,3.5,-1.3,3.1,1.8,4.7,2.7,5.9,-5.7,5.1,0.5,4.3,1.7,2.6,1.8,2.5,1.7,-1.7,-3.3,-1.8,-1.7,0.3,0.8318128750760461,0.8318128750760461,0.8318128750760461,0.8318128750760461,0.8318128750760461
Honduras,0.6,-1.2,-2.1,0.9,6.3,5.6,5.3,6.6,1.7,2.7,2.8,-3.3,6.1,6.5,0.2,6.2,1.9,4.6,3.6,-0.7,7.3,2.7,3.8,4.5,6.2,6.1,6.6,6.2,4.2,-2.4,3.7,3.8,4.1,2.8,3.1,3.8,3.9,4.8,3.8,2.7,-9.0,12.5,4.0,3.7,3.3454440496914373,3.3454440496914373,3.3454440496914373,3.3454440496914373,3.3454440496914373
Hong Kong SAR,10.3,9.2,2.9,6.0,10.0,0.7,11.1,13.4,8.5,2.3,3.8,5.7,6.2,6.2,6.0,2.4,4.3,5.1,-5.9,2.5,7.7,0.6,1.7,3.1,8.7,7.4,7.0,6.5,2.1,-2.5,6.8,4.8,1.7,3.1,2.8,2.4,2.2,3.8,2.8,-1.7,-6.5,6.4,-3.5,3.5,1.3513589826925503,1.3513589826925503,1.3513589826925503,1.3513589826925503,1.3513589826925503
Hungary,0.2,2.9,2.8,0.7,2.7,-0.3,1.5,4.1,-0.1,0.7,-3.5,-11.9,-3.1,-0.6,2.9,2.5,0.1,3.1,3.9,3.1,4.5,4.1,4.7,4.1,5.0,4.3,3.9,0.3,1.0,-6.6,1.1,1.9,-1.3,1.8,4.2,3.7,2.2,4.3,5.4,4.9,-4.5,7.1,4.9,0.5,1.6315417903372307,1.6315417903372307,1.6315417903372307,1.6315417903372307,1.6315417903372307
Iceland,5.7,4.3,2.2,-2.2,4.1,3.3,6.3,8.5,-0.1,0.3,1.2,-0.2,-3.4,1.3,3.6,0.1,4.6,5.8,7.4,4.0,5.0,4.0,0.6,2.1,7.8,6.1,6.3,8.5,2.2,-7.7,-2.8,1.8,1.1,4.6,1.7,4.4,6.3,4.2,4.9,1.8,-7.2,4.3,6.4,2.3,2.8761592619020933,2.8761592619020933,2.8761592619020933,2.8761592619020933,2.8761592619020933
India,5.3,6.0,3.5,7.3,3.8,5.3,4.8,4.0,9.6,5.9,5.5,1.1,5.5,4.8,6.7,7.6,7.5,4.0,6.2,8.5,4.0,4.9,3.9,7.9,7.8,9.3,9.3,9.8,3.9,8.5,10.3,6.6,5.5,6.4,7.4,8.0,8.3,6.8,6.5,3.9,-5.8,9.1,6.8,5.9,6.08863132282828,6.08863132282828,6.08863132282828,6.08863132282828,6.08863132282828
Indonesia,9.9,7.6,2.2,4.2,7.6,3.9,7.2,6.6,7.0,9.1,9.0,8.9,6.5,8.0,7.5,8.2,7.8,4.7,-13.1,0.8,5.0,3.6,4.5,4.8,5.0,5.7,5.5,6.3,7.4,4.7,6.4,6.2,6.0,5.6,5.0,4.9,5.0,5.1,5.2,5.0,-2.1,3.7,5.3,5.0,5.308716118250506,5.308716118250506,5.308716118250506,5.308716118250506,5.308716118250506
Iran,-21.6,-5.7,23.2,11.1,-7.1,1.9,-9.8,-0.2,-6.1,6.1,13.6,12.7,3.3,-1.5,-1.7,2.4,6.4,1.4,2.1,2.0,5.8,2.4,8.1,8.6,4.3,3.2,5.0,8.2,0.3,1.0,5.8,2.6,-3.7,-1.5,5.0,-1.4,8.8,2.8,-1.8,-3.1,3.3,4.7,2.5,2.0,2.73163351144815,2.73163351144815,2.73163351144815,2.73163351144815,2.73163351144815
Iraq,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,7.976666666666665,24.8,-4.3,-6.6,-7.8,81.8,53.4,1.7,5.6,1.9,8.2,3.4,6.4,7.5,13.9,7.6,0.7,2.5,15.2,-3.4,4.7,5.8,-15.7,7.7,8.1,3.7,8.56478365450746,8.56478365450746,8.56478365450746,8.56478365450746,8.56478365450746
Ireland,2.9,2.5,1.5,-0.7,3.2,1.9,0.4,3.6,3.0,5.6,7.7,1.6,3.6,2.3,5.9,9.6,9.1,10.7,8.8,10.5,9.4,5.3,5.9,3.0,6.8,5.7,5.0,5.3,-4.5,-5.1,1.7,0.8,0.0,1.1,8.6,24.4,2.0,9.0,8.5,5.4,6.2,13.6,12.0,5.6,5.1855848454606495,5.1855848454606495,5.1855848454606495,5.1855848454606495,5.1855848454606495
Israel,3.6,4.7,1.4,2.6,2.2,4.5,3.6,7.5,3.6,1.4,6.6,4.6,7.2,3.8,7.0,9.7,5.9,3.8,4.1,3.3,8.7,0.3,-0.1,1.4,4.8,4.1,5.6,6.0,3.3,0.9,5.7,5.6,2.6,4.4,3.9,2.5,4.5,4.3,4.1,4.2,-1.9,8.6,6.4,2.9,4.179540485483014,4.179540485483014,4.179540485483014,4.179540485483014,4.179540485483014
Italy,3.1,0.6,0.2,0.9,3.0,2.6,2.7,3.1,4.0,3.3,2.0,1.4,0.7,-0.8,2.1,2.7,1.3,1.8,1.8,1.6,3.8,2.0,0.3,0.1,1.4,0.8,1.8,1.5,-1.0,-5.3,1.7,0.7,-3.0,-1.8,0.0,0.8,1.3,1.7,0.9,0.5,-9.0,7.0,3.7,0.7,0.6412291361673904,0.6412291361673904,0.6412291361673904,0.6412291361673904,0.6412291361673904
Jamaica,-4.0,4.4,3.1,4.2,0.9,-0.9,7.0,7.7,-4.0,4.7,4.9,0.8,2.8,2.2,1.9,2.5,0.2,-1.6,-1.2,1.0,0.8,1.3,0.7,3.7,1.3,0.9,2.9,1.4,-0.8,-3.4,-1.4,1.4,-0.5,0.2,0.6,0.9,1.5,0.7,1.8,1.0,-9.9,4.6,4.0,2.2,1.193176879702255,1.193176879702255,1.193176879702255,1.193176879702255,1.193176879702255
Japan,3.2,4.2,3.3,3.5,4.5,5.2,3.3,4.7,6.8,4.9,4.9,3.4,0.8,-0.5,0.9,2.6,3.1,1.0,-1.3,-0.3,2.8,0.4,0.0,1.5,2.2,1.8,1.4,1.5,-1.2,-5.7,4.1,0.0,1.4,2.0,0.3,1.6,0.8,1.7,0.6,-0.4,-4.3,2.1,1.1,1.3,0.5741357972578335,0.5741357972578335,0.5741357972578335,0.5741357972578335,0.5741357972578335
Jordan,11.1,15.0,5.8,1.4,5.5,-1.1,5.9,2.7,2.9,-10.7,-1.6,-5.7,16.9,4.4,5.0,6.0,1.9,3.7,3.2,3.2,4.2,5.0,6.6,4.0,8.3,8.8,8.5,8.4,7.4,5.0,2.3,2.7,2.4,2.6,3.4,2.5,2.0,2.5,1.9,1.9,-1.6,2.2,2.7,2.7,3.958530175517197,3.958530175517197,3.958530175517197,3.958530175517197,3.958530175517197
Kazakhstan,3.5472222222222225,3.5472222222222225,3.5472222222222225,3.5472222222222225,3.5472222222222225,3.5472222222222225,3.5472222222222225,3.5472222222222225,3.5472222222222225,3.5472222222222225,3.5472222222222225,3.5472222222222225,3.5472222222222225,-9.2,-12.6,-8.2,0.5,1.7,-1.9,2.7,9.8,13.5,9.8,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.5,5.0,5.9,4.3,1.0,0.9,3.9,4.1,4.5,-2.6,4.1,3.2,4.3,3.5581033256565737,3.5581033256565737,3.5581033256565737,3.5581033256565737,3.5581033256565737
Kenya,5.6,4.1,5.1,1.6,1.6,4.1,7.0,5.8,6.1,4.6,4.1,1.3,-1.1,-0.1,2.5,4.3,4.5,0.4,3.0,2.2,0.3,4.0,0.5,2.9,4.6,5.7,5.9,6.9,0.2,3.3,8.1,5.1,4.6,3.8,5.0,5.0,4.2,3.8,5.7,5.1,-0.3,7.5,5.4,5.3,3.8681271395771386,3.8681271395771386,3.8681271395771386,3.8681271395771386,3.8681271395771386
Kiribati,0.1,0.2,0.7,-2.7,2.4,-4.5,1.0,0.4,9.1,-3.1,-1.3,0.1,1.3,1.0,1.8,-0.1,1.1,2.0,6.9,-1.8,6.0,-1.4,4.0,2.0,-1.6,5.0,0.0,2.0,-2.1,0.8,-1.1,1.8,5.1,4.2,-1.1,9.9,-0.5,-0.1,5.3,-2.1,-1.4,7.9,1.2,2.5,1.385033821309406,1.385033821309406,1.385033821309406,1.385033821309406,1.385033821309406
"Korea, Republic of",-1.6,7.2,8.3,13.4,10.6,7.8,11.3,12.7,12.0,7.1,9.9,10.8,6.2,6.9,9.3,9.6,7.9,6.2,-5.1,11.5,9.1,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3.0,0.8,6.8,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2.2,-0.7,4.1,2.6,1.5,2.056426639760419,2.056426639760419,2.056426639760419,2.056426639760419,2.056426639760419
Kosovo,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,3.807142857142857,4.6,-0.4,2.6,0.6,4.5,3.6,8.3,1.8,5.0,4.9,6.3,1.7,5.3,3.3,5.9,5.6,4.8,3.4,4.8,-5.3,10.7,2.7,3.5,3.8238511370389547,3.8238511370389547,3.8238511370389547,3.8238511370389547,3.8238511370389547
Kuwait,-20.4,-18.9,-9.5,5.3,5.2,-4.3,8.6,8.1,-10.0,25.9,-26.2,-41.0,82.8,35.1,8.6,1.7,0.6,2.5,3.7,-1.8,4.7,0.2,3.0,17.3,10.8,10.1,7.5,6.0,2.5,-7.1,-2.4,9.6,6.6,1.2,0.5,0.6,2.9,-4.7,2.4,-0.6,-8.9,1.3,8.2,0.9,3.310482931745059,3.310482931745059,3.310482931745059,3.310482931745059,3.310482931745059
Kyrgyz Republic,2.7194444444444446,2.7194444444444446,2.7194444444444446,2.7194444444444446,2.7194444444444446,2.7194444444444446,2.7194444444444446,2.7194444444444446,2.7194444444444446,2.7194444444444446,2.7194444444444446,2.7194444444444446,2.7194444444444446,-13.0,-19.8,-5.4,7.1,9.9,2.1,3.7,5.4,5.3,0.0,7.0,7.0,-0.2,3.1,8.5,7.6,2.9,-0.5,6.0,-0.1,10.9,4.0,3.9,4.3,4.7,3.5,4.6,-8.6,3.7,7.0,3.5,2.55189090007169,2.55189090007169,2.55189090007169,2.55189090007169,2.55189090007169
Lao P.D.R.,10.0,15.3,4.7,3.0,6.4,9.1,4.8,-1.0,-2.1,9.9,6.7,4.0,7.0,5.9,8.2,7.0,6.9,6.9,4.3,4.0,6.4,4.8,6.8,6.2,7.2,6.9,9.0,7.9,7.8,7.4,8.0,8.0,7.8,8.0,7.6,7.3,7.0,6.9,6.3,4.7,-0.4,2.1,2.3,4.0,6.14397869539443,6.14397869539443,6.14397869539443,6.14397869539443,6.14397869539443
Latvia,2.947222222222223,2.947222222222223,2.947222222222223,2.947222222222223,2.947222222222223,2.947222222222223,2.947222222222223,2.947222222222223,2.947222222222223,2.947222222222223,2.947222222222223,2.947222222222223,2.947222222222223,-11.4,2.2,-2.1,2.6,8.8,6.3,2.8,5.7,6.3,7.1,8.4,8.3,10.7,12.0,9.9,-3.2,-14.3,-4.5,2.6,7.0,2.0,1.9,3.9,2.4,3.3,4.0,2.6,-2.2,4.1,2.0,0.4,2.861781014255504,2.861781014255504,2.861781014255504,2.861781014255504,2.861781014255504
Lebanon,1.5,0.5,-36.8,22.7,44.5,24.3,-6.8,16.7,-28.2,-42.2,-13.4,38.2,4.5,7.0,8.0,6.5,4.0,10.2,3.9,-0.8,1.1,3.9,3.4,1.7,7.5,0.7,1.5,9.3,9.1,10.2,8.0,0.9,2.6,3.8,2.5,0.5,1.6,0.9,-1.9,-6.9,-25.9,1.6586948695978478,1.6586948695978478,1.6586948695978478,2.320967520153665,2.320967520153665,2.320967520153665,2.320967520153665,2.320967520153665
Lesotho,-0.8,3.1,5.6,3.0,4.3,3.3,4.1,2.1,7.7,5.5,5.2,4.8,6.2,3.8,4.5,2.8,4.9,3.5,1.4,1.6,4.9,3.3,1.6,4.1,2.4,3.1,4.4,5.0,3.8,0.4,5.1,5.1,5.1,1.8,2.1,3.2,1.9,-2.7,-1.3,-2.0,-3.9,2.1,2.1,2.2,1.3467902020620928,1.3467902020620928,1.3467902020620928,1.3467902020620928,1.3467902020620928
Liberia,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,3.2821428571428575,2.8,4.4,-29.0,4.0,5.9,8.5,13.1,6.1,5.2,6.4,7.7,8.4,8.8,0.7,0.0,-1.6,2.5,1.2,-2.5,-3.0,5.0,4.8,4.3,3.014199564484508,3.014199564484508,3.014199564484508,3.014199564484508,3.014199564484508
Libya,0.6,-20.0,1.5,-4.7,-8.3,0.6,-11.4,-14.7,7.6,7.2,3.7,18.3,-4.5,-5.5,3.2,-15.4,1.8,-2.6,-0.7,-0.2,4.0,2.6,-3.7,16.1,5.8,10.6,0.3,6.2,-0.2,-4.4,5.0,-50.3,86.8,-18.0,-23.0,-0.8,-1.5,32.5,7.9,-11.2,-29.5,28.3,-12.8,17.5,0.5765409351884873,0.5765409351884873,0.5765409351884873,0.5765409351884873,0.5765409351884873
Lithuania,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,3.7454545454545456,5.2,8.3,7.5,-1.1,3.7,6.5,6.8,10.6,6.6,7.7,7.4,11.1,2.6,-14.8,1.7,6.0,3.8,3.6,3.5,2.0,2.5,4.3,4.0,4.6,0.0,6.0,1.9,-0.3,3.909883708987054,3.909883708987054,3.909883708987054,3.909883708987054,3.909883708987054
Luxembourg,3.2,0.8,1.0,1.9,4.7,5.6,10.0,4.0,8.5,9.8,5.3,8.6,1.8,4.2,3.8,1.4,1.5,5.9,6.5,8.4,8.4,3.1,3.2,2.6,4.2,2.5,6.0,8.1,-0.3,-3.2,3.8,1.0,1.6,3.2,2.6,2.3,5.0,1.3,1.2,2.3,-0.8,5.1,1.5,1.1,3.6588786430107962,3.6588786430107962,3.6588786430107962,3.6588786430107962,3.6588786430107962
Macao SAR,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,6.733333333333333,8.9,11.6,26.6,8.1,13.4,14.5,3.4,1.3,25.1,21.6,9.2,10.8,-2.0,-21.5,-0.7,10.0,6.5,-2.5,-54.2,19.3,-26.8,58.9,6.339822026731484,6.339822026731484,6.339822026731484,6.339822026731484,6.339822026731484
Madagascar,0.8,-9.8,-1.9,0.9,1.8,1.2,2.0,1.2,3.4,4.1,3.1,-6.3,1.2,2.1,0.0,1.7,2.2,3.7,3.9,4.7,4.5,6.0,-12.4,9.8,5.3,4.8,5.4,5.7,6.7,-4.0,0.6,1.6,3.0,2.3,3.3,3.1,4.0,3.9,3.2,4.4,-7.1,5.7,4.2,4.2,2.004540708360096,2.004540708360096,2.004540708360096,2.004540708360096,2.004540708360096
Malawi,0.4,-5.2,2.5,3.7,5.4,4.6,-0.2,1.6,3.2,1.3,5.7,8.7,-7.3,9.7,-10.3,13.8,10.0,6.6,1.1,3.5,0.8,-4.1,1.8,5.7,5.4,3.3,4.7,9.6,7.6,8.3,6.9,4.9,1.9,5.2,5.7,3.0,2.3,4.0,4.4,5.4,0.9,4.6,0.8,2.4,3.50681314356593,3.50681314356593,3.50681314356593,3.50681314356593,3.50681314356593
Malaysia,7.4,6.9,5.9,6.3,7.8,-0.9,1.2,5.4,9.9,9.1,9.0,9.5,8.9,9.9,9.2,9.8,10.0,7.3,-7.4,6.1,8.7,0.5,5.4,5.8,6.8,5.0,5.6,6.3,4.8,-1.5,7.5,5.3,5.5,4.7,6.0,5.0,4.4,5.8,4.8,4.4,-5.5,3.1,8.7,4.5,5.529549883847437,5.529549883847437,5.529549883847437,5.529549883847437,5.529549883847437
Maldives,18.8,7.9,7.5,4.4,17.4,13.8,8.6,8.9,8.7,9.3,-4.0,6.9,6.5,5.4,7.5,7.4,9.1,10.4,9.8,7.2,4.8,3.5,6.1,25.4,6.0,-13.1,26.1,7.7,9.5,-7.2,7.3,8.6,2.5,7.3,7.3,2.9,6.3,7.2,8.1,6.9,-33.4,41.7,12.3,7.2,7.265296562899858,7.265296562899858,7.265296562899858,7.265296562899858,7.265296562899858
Mali,3.3,-4.5,-11.6,3.2,2.4,3.2,6.1,2.5,0.1,10.7,9.3,7.7,-1.6,3.6,3.8,3.0,7.3,4.8,2.9,6.2,-0.1,15.4,3.1,9.1,1.6,6.5,4.7,3.5,4.8,4.7,5.4,3.2,-0.8,2.3,7.1,6.2,5.9,5.3,4.7,4.8,-1.2,3.1,3.7,5.0,3.872722277066255,3.872722277066255,3.872722277066255,3.872722277066255,3.872722277066255
Malta,7.0,2.7,0.1,2.6,0.8,2.4,3.8,5.7,6.8,7.1,4.7,5.9,8.1,3.9,4.6,6.9,4.0,4.8,3.4,3.8,-1.0,-1.2,2.6,4.1,0.1,3.4,2.5,4.8,3.8,-1.1,5.5,0.5,4.1,5.5,7.6,9.6,3.4,10.9,6.2,7.0,-8.6,11.8,6.9,3.5,4.113621975864407,4.113621975864407,4.113621975864407,4.113621975864407,4.113621975864407
Marshall Islands,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,1.4741935483870967,-0.7,-1.1,1.5,6.7,3.7,-1.6,-0.3,2.3,-0.2,3.4,-6.4,2.6,6.8,-0.6,-2.2,3.9,-1.0,1.6,1.4,3.3,3.1,6.8,-1.6,1.7,1.3,3.0,1.4237586321225226,1.4237586321225226,1.4237586321225226,1.4237586321225226,1.4237586321225226
Mauritania,3.53421052631579,3.53421052631579,3.53421052631579,3.53421052631579,3.53421052631579,3.53421052631579,3.53421052631579,3.53421052631579,3.53421052631579,3.53421052631579,3.53421052631579,0.0,1.8,5.9,-3.1,9.8,5.8,-4.0,2.8,3.7,-3.9,-0.8,1.4,6.9,4.7,8.6,18.3,-2.0,-0.3,0.1,2.6,4.2,4.5,4.2,4.3,5.4,1.3,6.3,4.8,5.4,-0.9,2.4,5.0,4.4,3.374457128208948,3.374457128208948,3.374457128208948,3.374457128208948,3.374457128208948
Mauritius,-10.1,5.9,5.5,0.4,4.8,6.9,9.7,10.2,6.8,4.5,7.2,4.4,6.5,5.1,4.1,4.3,5.6,5.7,6.1,2.6,8.2,3.2,1.6,6.0,4.3,1.5,4.5,5.7,5.4,3.3,4.4,4.1,3.5,3.4,3.8,3.7,3.9,3.9,4.0,2.9,-14.6,3.5,8.3,4.6,4.078367695355741,4.078367695355741,4.078367695355741,4.078367695355741,4.078367695355741
